YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1973,27.69,28.89,29.20,999.90,999.90,26.76,27.00,25.87,999.90,26.66,27.08,26.68,28.19,999.90,26.54,26.92,27.68
1974,26.59,27.39,28.70,28.54,999.90,26.99,999.90,26.17,25.90,999.90,27.01,999.90,26.89,28.51,26.52,26.43,27.09
1975,26.90,27.70,28.77,999.90,999.90,26.07,26.31,26.00,999.90,999.90,26.25,999.90,27.20,999.90,26.13,999.90,999.90
1976,26.91,27.56,28.69,999.90,999.90,999.90,999.90,26.76,27.51,999.90,26.63,999.90,27.13,999.90,999.90,27.05,999.90
1977,27.42,27.48,28.92,28.97,27.64,26.94,26.75,27.23,27.19,999.90,27.03,27.56,27.35,28.51,26.97,27.09,27.48
1978,27.50,28.20,28.73,29.55,27.95,26.34,26.00,25.91,26.79,27.09,26.60,27.56,27.75,28.74,26.08,26.83,27.35
1979,27.85,28.23,29.08,29.69,28.88,27.63,26.93,26.73,26.86,27.31,26.52,27.67,27.88,29.22,27.10,26.90,27.77
1980,27.67,28.13,29.06,29.54,29.49,27.19,26.41,26.95,27.37,27.18,27.33,27.90,27.82,29.36,26.85,27.29,27.83
1981,27.30,27.85,29.13,29.32,29.03,26.23,26.74,27.19,26.67,27.01,26.61,27.37,27.68,29.16,26.72,26.76,27.58
1982,27.01,27.50,29.27,29.74,29.00,26.89,26.43,26.65,27.60,27.46,27.87,27.52,27.29,29.34,26.66,27.64,27.73
1983,27.55,28.45,29.49,30.00,29.72,28.58,27.59,27.31,26.86,27.60,27.25,27.40,27.84,29.74,27.83,27.24,28.16
1984,27.16,27.18,28.10,27.96,29.14,26.64,26.20,27.67,26.91,26.83,27.68,27.02,27.25,28.40,26.84,27.14,27.41
1985,27.41,28.27,29.27,29.66,28.52,25.77,26.55,27.24,27.71,27.34,26.49,27.80,27.57,29.15,26.52,27.18,27.60
1986,27.67,27.90,29.28,29.49,29.13,27.83,26.88,26.42,27.37,27.74,27.20,28.13,27.79,29.30,27.04,27.44,27.89
1987,28.12,28.30,29.36,29.70,29.50,27.52,28.18,27.42,27.72,27.39,27.32,27.82,28.18,29.52,27.71,27.48,28.22
1988,27.78,28.82,29.71,28.75,29.57,27.07,27.02,26.85,26.79,999.90,27.05,27.49,28.14,29.34,26.98,26.90,27.84
1989,26.92,27.38,28.57,29.15,28.75,26.12,26.57,26.58,26.62,26.87,27.94,28.27,27.26,28.82,26.42,27.14,27.41
1990,27.51,28.74,29.58,30.25,28.40,27.24,26.70,27.32,27.68,27.40,27.43,28.45,28.17,29.41,27.09,27.50,28.04
1991,28.07,27.97,29.65,30.01,30.02,26.71,26.83,26.76,28.43,26.75,27.24,27.70,28.16,29.89,26.77,27.47,28.07
1992,26.97,27.85,28.90,29.88,28.56,27.25,26.10,26.32,27.47,26.68,26.72,27.04,27.51,29.11,26.56,26.96,27.53
1993,27.07,27.46,29.12,29.78,28.98,27.31,25.93,26.90,28.10,26.56,26.43,27.04,27.19,29.29,26.71,27.03,27.56
1994,27.85,28.24,28.90,28.89,28.93,26.97,26.29,27.11,27.99,27.20,27.82,28.10,27.71,28.91,26.79,27.67,27.77
1995,28.40,28.43,29.27,29.30,28.80,999.90,27.30,27.40,27.60,27.80,27.43,28.20,28.31,29.12,27.42,27.61,28.12
1996,27.23,28.17,28.88,29.12,29.85,27.00,26.89,27.09,26.68,26.77,27.44,26.68,27.87,29.28,26.99,26.96,27.78
1997,27.42,28.30,28.93,29.79,29.35,27.91,27.18,27.38,27.43,27.35,27.17,28.51,27.47,29.36,27.49,27.32,27.91
1998,28.66,29.20,29.77,31.09,29.52,27.79,27.29,27.23,27.00,27.03,27.03,27.16,28.79,30.13,27.44,27.02,28.34
1999,27.48,28.38,29.60,29.13,27.71,27.25,26.38,27.56,28.38,26.23,27.78,27.23,27.67,28.81,27.06,27.46,27.75
2000,28.37,28.57,29.46,29.37,29.97,26.65,27.57,26.72,27.67,27.77,27.97,27.77,28.06,29.60,26.98,27.80,28.11
2001,28.28,28.77,29.67,28.17,28.97,27.27,27.07,27.17,27.57,27.52,999.90,27.41,28.27,28.94,27.17,27.51,27.97
2002,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2003,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2004,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2005,27.94,28.94,29.79,28.89,29.44,27.64,27.14,27.89,27.49,27.94,27.19,999.90,28.34,29.37,27.56,27.54,28.20
2006,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2007,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2008,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2009,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2010,27.56,28.56,29.86,29.76,29.36,27.96,27.06,26.96,27.66,27.36,27.26,26.86,27.96,29.66,27.33,27.43,28.09
2011,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2012,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2013,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
